geo_accession,target
GSM337197,1-normal skin from controls
GSM337198,1-normal skin from controls
GSM337199,1-normal skin from controls
GSM337200,1-normal skin from controls
GSM337201,1-normal skin from controls
GSM337202,1-normal skin from controls
GSM337203,1-normal skin from controls
GSM337204,1-normal skin from controls
GSM337205,1-normal skin from controls
GSM337206,1-normal skin from controls
GSM337207,1-normal skin from controls
GSM337208,1-normal skin from controls
GSM337209,1-normal skin from controls
GSM337210,1-normal skin from controls
GSM337211,1-normal skin from controls
GSM337212,1-normal skin from controls
GSM337213,1-normal skin from controls
GSM337214,1-normal skin from controls
GSM337215,1-normal skin from controls
GSM337216,1-normal skin from controls
GSM337217,1-normal skin from controls
GSM337218,1-normal skin from controls
GSM337219,1-normal skin from controls
GSM337220,1-normal skin from controls
GSM337221,1-normal skin from controls
GSM337222,1-normal skin from controls
GSM337223,1-normal skin from controls
GSM337224,1-normal skin from controls
GSM337225,1-normal skin from controls
GSM337226,1-normal skin from controls
GSM337227,1-normal skin from controls
GSM337228,1-normal skin from controls
GSM337229,1-normal skin from controls
GSM337230,1-normal skin from controls
GSM337231,1-normal skin from controls
GSM337232,1-normal skin from controls
GSM337233,1-normal skin from controls
GSM337234,1-normal skin from controls
GSM337235,1-normal skin from controls
GSM337236,1-normal skin from controls
GSM337237,1-normal skin from controls
GSM337238,1-normal skin from controls
GSM337239,1-normal skin from controls
GSM337240,1-normal skin from controls
GSM337241,1-normal skin from controls
GSM337242,1-normal skin from controls
GSM337243,1-normal skin from controls
GSM337244,1-normal skin from controls
GSM337245,1-normal skin from controls
GSM337246,1-normal skin from controls
GSM337247,1-normal skin from controls
GSM337248,1-normal skin from controls
GSM337249,1-normal skin from controls
GSM337250,1-normal skin from controls
GSM337251,1-normal skin from controls
GSM337252,1-normal skin from controls
GSM337253,1-normal skin from controls
GSM337254,1-normal skin from controls
GSM337255,1-normal skin from controls
GSM337256,1-normal skin from controls
GSM337257,1-normal skin from controls
GSM337258,1-normal skin from controls
GSM337259,1-normal skin from controls
GSM337260,1-normal skin from controls
GSM337261,2-uninvolved skin from cases
GSM337262,2-uninvolved skin from cases
GSM337263,2-uninvolved skin from cases
GSM337264,2-uninvolved skin from cases
GSM337265,2-uninvolved skin from cases
GSM337266,2-uninvolved skin from cases
GSM337267,2-uninvolved skin from cases
GSM337268,2-uninvolved skin from cases
GSM337269,2-uninvolved skin from cases
GSM337270,2-uninvolved skin from cases
GSM337271,2-uninvolved skin from cases
GSM337272,2-uninvolved skin from cases
GSM337273,2-uninvolved skin from cases
GSM337274,2-uninvolved skin from cases
GSM337275,2-uninvolved skin from cases
GSM337276,2-uninvolved skin from cases
GSM337277,2-uninvolved skin from cases
GSM337278,2-uninvolved skin from cases
GSM337279,2-uninvolved skin from cases
GSM337280,2-uninvolved skin from cases
GSM337281,2-uninvolved skin from cases
GSM337282,2-uninvolved skin from cases
GSM337283,2-uninvolved skin from cases
GSM337284,2-uninvolved skin from cases
GSM337285,2-uninvolved skin from cases
GSM337286,2-uninvolved skin from cases
GSM337287,2-uninvolved skin from cases
GSM337288,2-uninvolved skin from cases
GSM337289,2-uninvolved skin from cases
GSM337290,2-uninvolved skin from cases
GSM337291,2-uninvolved skin from cases
GSM337292,2-uninvolved skin from cases
GSM337293,2-uninvolved skin from cases
GSM337294,2-uninvolved skin from cases
GSM337295,2-uninvolved skin from cases
GSM337296,2-uninvolved skin from cases
GSM337297,2-uninvolved skin from cases
GSM337298,2-uninvolved skin from cases
GSM337299,2-uninvolved skin from cases
GSM337300,2-uninvolved skin from cases
GSM337301,2-uninvolved skin from cases
GSM337302,2-uninvolved skin from cases
GSM337303,2-uninvolved skin from cases
GSM337304,2-uninvolved skin from cases
GSM337305,2-uninvolved skin from cases
GSM337306,2-uninvolved skin from cases
GSM337307,2-uninvolved skin from cases
GSM337308,2-uninvolved skin from cases
GSM337309,2-uninvolved skin from cases
GSM337310,2-uninvolved skin from cases
GSM337311,2-uninvolved skin from cases
GSM337312,2-uninvolved skin from cases
GSM337313,2-uninvolved skin from cases
GSM337314,2-uninvolved skin from cases
GSM337315,2-uninvolved skin from cases
GSM337316,2-uninvolved skin from cases
GSM337317,2-uninvolved skin from cases
GSM337318,2-uninvolved skin from cases
GSM337319,3-involved skin from cases
GSM337320,3-involved skin from cases
GSM337321,3-involved skin from cases
GSM337322,3-involved skin from cases
GSM337323,3-involved skin from cases
GSM337324,3-involved skin from cases
GSM337325,3-involved skin from cases
GSM337326,3-involved skin from cases
GSM337327,3-involved skin from cases
GSM337328,3-involved skin from cases
GSM337329,3-involved skin from cases
GSM337330,3-involved skin from cases
GSM337331,3-involved skin from cases
GSM337332,3-involved skin from cases
GSM337333,3-involved skin from cases
GSM337334,3-involved skin from cases
GSM337335,3-involved skin from cases
GSM337336,3-involved skin from cases
GSM337337,3-involved skin from cases
GSM337338,3-involved skin from cases
GSM337339,3-involved skin from cases
GSM337340,3-involved skin from cases
GSM337341,3-involved skin from cases
GSM337342,3-involved skin from cases
GSM337343,3-involved skin from cases
GSM337344,3-involved skin from cases
GSM337345,3-involved skin from cases
GSM337346,3-involved skin from cases
GSM337347,3-involved skin from cases
GSM337348,3-involved skin from cases
GSM337349,3-involved skin from cases
GSM337350,3-involved skin from cases
GSM337351,3-involved skin from cases
GSM337352,3-involved skin from cases
GSM337353,3-involved skin from cases
GSM337354,3-involved skin from cases
GSM337355,3-involved skin from cases
GSM337356,3-involved skin from cases
GSM337357,3-involved skin from cases
GSM337358,3-involved skin from cases
GSM337359,3-involved skin from cases
GSM337360,3-involved skin from cases
GSM337361,3-involved skin from cases
GSM337362,3-involved skin from cases
GSM337363,3-involved skin from cases
GSM337364,3-involved skin from cases
GSM337365,3-involved skin from cases
GSM337366,3-involved skin from cases
GSM337367,3-involved skin from cases
GSM337368,3-involved skin from cases
GSM337369,3-involved skin from cases
GSM337370,3-involved skin from cases
GSM337371,3-involved skin from cases
GSM337372,3-involved skin from cases
GSM337373,3-involved skin from cases
GSM337374,3-involved skin from cases
GSM337375,3-involved skin from cases
GSM337376,3-involved skin from cases
